0.96-OLED:1
1.3-OLED:1
C1:1
C10:1
C11:1
C12:1
C13:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CAN TERM:1
D1:1
D2:1
D3:1
D4:1
DCC:1
DCC1:1
DCC2:1
DOWN:1
ESP32:1
GOLD_ORB_SM1:1
GOLD_ORB_SM2:1
H1:1
H2:1
H3:1
H4:1
I2C:1
IC2:1
J2:1
J3:1
JP1:1
JP5:1
L6203:1
LED2:1
LED4:1
LM7805:1
M_COURANT:1
P1:1
P2:1
R10:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R20:1
R21:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RX2/TX2/16/17:1
SEL:1
SJ1:1
SJ2:1
SJ3:1
SJ4:1
SJ5:1
SMALL_DOWN:1
SMALL_SEL:1
SMALL_UP:1
TEST_5V:1
TX/RX:1
U$1:1
U$4:1
U1:1
UP:1
VIN:1
